"GageID","ToolID","PartNo","Description","Custodian","CurrentStatus","WithCustodian","InToolControl","InCalibration","OutOfService","CalibrationStatus","SpecificDate","ScheduleDays","ScheduleDate","NoCalibrationReq","CalibrationDue","Location","Notes","Lab","Path","CertificateNotes","CertificateProcedure","Received","Left","General","SubmittedTo","SubmittedBy","DateCal"
123,"CI-340","601-8020","Analog Hydraulic Weld Gauge","QA",,,,,,0,10/17/2025 0:00:00,,,0,10/17/2025 0:00:00,"Weld","SN SH07202462",,,,,,,,,,
124,"CI-341",,"Thread Ring Gag #10-32  UNF -2A Go","QA Cabinet",0,5/6/2025 0:00:00,,,,1,,365,2/7/2024 0:00:00,0,2/6/2025 0:00:00,"GRC",,,,,,,,,,,
125,"CI-342",,"Thread Ring Gage #10-32 UNF-2A No Go","QA Cabinet",0,5/6/2025 0:00:00,,,,1,,365,2/7/2024 0:00:00,0,2/7/2026 0:00:00,"GRC","New Purchased PO 41630",,,,,,,,,,
126,"CI-058",,"Plug Gage 5/16-24 UNF-2B","QA Cabinet",0,3/13/2025 0:00:00,,,,1,,365,3/7/2025 0:00:00,0,3/7/2026 0:00:00,"QA Cabinet","","Western States",,,,,,,,,
127,"CI-059",,,,,,,,,,,,2/10/2025 14:53:43,0,,,,,,,,,,,,,
130,"CI-062",,,,,,,,,,,,2/12/2025 9:13:53,0,,,,,,,,,,,,,
131,"CI-343","NA","Thread Gage .526","QA",3,,,,2/12/2025 0:00:00,2,,,,1,,"GRC",,,,,,,,,,,
132,"CI-344","599-579-12-1","12 "" Calipers","QA",3,,,,2/12/2025 0:00:00,2,,,,1,,"Out at calibration",,,,,,,,,,,
133,"CI-345",,,,,,,,,,,,2/25/2025 14:42:17,0,,,,,,,,,,,,,
134,"CI-346",,,,,,,,,,,,3/3/2025 7:27:01,0,,,,,,,,,,,,,
135,"",,,,,,,,,,,,3/3/2025 7:29:41,0,,,,,,,,,,,,,
136,"000001",,,,,,,,,,,,3/3/2025 7:30:25,0,,,,,,,,,,,,,
137,"000002",,,,,,,,,,,,3/3/2025 7:30:52,0,,,,,,,,,,,,,
138,"000003",,,,,,,,,,,,3/3/2025 7:31:01,0,,,,,,,,,,,,,
139,"000004",,,,,,,,,,,,3/3/2025 7:31:30,0,,,,,,,,,,,,,
140,"000005",,,,,,,,,,,,3/3/2025 7:35:44,0,,,,,,,,,,,,,
141,"000006",,,,,,,,,,,,3/3/2025 10:35:19,0,,,,,,,,,,,,,
142,"000007",,,,,,,,,,,,3/3/2025 10:35:57,0,,,,,,,,,,,,,
143,"CI-347","250074036","Expanded Range Conductivity","QA Cabinet",1,3/13/2025 0:00:00,3/13/2025 0:00:00,,,1,,365,3/13/2025 0:00:00,0,3/13/2026 0:00:00,"QA Cabinet",,"New device came in Calibrated",,,,,,,,,
144,"CI-348","A124202","Datalogger, Temperature and Humidity ","QA Cabinet",0,3/13/2025 0:00:00,,,,1,,365,3/13/2025 0:00:00,0,3/13/2026 0:00:00,"QA Cabinet",,"Western States Calibration",,,,,,,,,
145,"CI-349",,,,,,,,,,,,4/2/2025 7:36:03,0,,,,,,,,,,,,,
146,"CI-350",,,,,,,,,,,,4/24/2025 12:47:15,0,,,,,,,,,,,,,
147,"CI-351",,,,,,,,,,,,4/24/2025 12:47:41,0,,,,,,,,,,,,,
148,"CI-352",,,,,,,,,,,,4/24/2025 12:50:12,0,,,,,,,,,,,,,
149,"CI-353",,,,,,,,,,,,4/24/2025 12:50:15,0,,,,,,,,,,,,,
150,"CI-354",,,,,,,,,,,,4/30/2025 12:39:44,0,,,,,,,,,,,,,
151,"CI-355",,,,,,,,,,,,5/6/2025 11:18:12,0,,,,,,,,,,,,,
